name,region,size,task_clock,CPUs_utilized,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,instructions,branches,branch_misses,time_elapsed,IO,num_threads
mandelbrot_pth,full,16,2.59,0.967,5,0,94,920.022,751.827,910.412,579.776,66.362,0.002683,True,16
mandelbrot_pth,full,32,2.72,0.956,5,0,99,152.222,653.608,793.929,687.049,67.340,0.0028398,True,16
mandelbrot_pth,full,64,2.98,1.121,3,0,130,382.302,012.397,403.526,138.260,75.758,0.002662,True,16
mandelbrot_pth,full,128,11.04,1.247,4,0,249,986.138,561.757,743.563,938.435,105.892,0.008859,True,16
mandelbrot_pth,full,256,30.54,1.379,3,0,729,514.931,577.487,042.793,119.646,223.916,0.02215,True,16
mandelbrot_pth,full,512,88.90,1.531,3,0,649,705.048,004.695,682.474,759.115,671.125,0.05805,True,16
mandelbrot_pth,full,1024,263.45,1.444,4,0,330,534.529,106.107,570.683,189.490,429.538,0.18250,True,16
mandelbrot_pth,full,2048,877.51,1.383,6,0,050,423.477,669.984,724.038,420.480,469.212,0.63450,True,16
mandelbrot_pth,full,4096,377.49,1.232,20,1,929,051.551,415.299,593.577,232.671,845.297,2.7404,True,16
mandelbrot_pth,full,8192,172.75,1.320,118,5,450,278.188,757.083,038.999,448.610,978.224,9.9786,True,16
mandelbrot_pth,seahorse,16,2.10,1.119,7,0,92,013.138,824.606,882.794,656.457,67.410,0.001874,True,16
mandelbrot_pth,seahorse,32,3.95,1.390,2,0,99,867.542,666.911,549.723,958.793,66.613,0.002838,True,16
mandelbrot_pth,seahorse,64,9.66,1.994,2,0,130,891.301,014.447,712.493,278.087,79.824,0.004843,True,16
mandelbrot_pth,seahorse,128,36.79,2.758,2,0,248,314.598,014.395,203.270,533.140,126.591,0.013343,True,16
mandelbrot_pth,seahorse,256,94.30,2.947,2,0,730,162.218,602.827,782.607,454.929,293.954,0.032001,True,16
mandelbrot_pth,seahorse,512,329.42,3.271,2,0,650,609.573,643.273,673.779,096.869,949.121,0.10072,True,16
mandelbrot_pth,seahorse,1024,150.35,3.522,4,0,329,327.066,460.626,059.015,185.268,517.307,0.32665,True,16
mandelbrot_pth,seahorse,2048,484.64,3.565,15,2,050,318.232,738.451,960.164,583.473,838.285,1.25790,True,16
mandelbrot_pth,seahorse,4096,804.04,3.570,51,5,929,598.876,651.679,588.314,149.244,104.109,4.98714,True,16
mandelbrot_pth,seahorse,8192,435.23,3.487,310,30,451,519.072,892.393,320.191,013.547,328.174,20.488,True,16
