executable,n_points,iter_limit,block_dim_x,block_dim_y,grid_dim_x,grid_dim_y,num_threads_per_block,num_blocks_per_grid,elapsed_time,version
heat,50,1024,,,,,,,0.018192573,sequential
heat,50,1024,,,,,,,0.016866169,sequential
heat,50,1024,,,,,,,0.017225305,sequential
heat,50,1024,,,,,,,0.02014848,sequential
heat,50,1024,,,,,,,0.008786215,sequential
heat,50,1024,,,,,,,0.010701962,sequential
heat,50,1024,,,,,,,0.021052469,sequential
heat,50,1024,,,,,,,0.010419443,sequential
heat,50,1024,,,,,,,0.010220179,sequential
heat,50,1024,,,,,,,0.009053926,sequential
heat,50,1024,,,,,,,0.009118113,sequential
heat,50,1024,,,,,,,0.022227103,sequential
heat,50,1024,,,,,,,0.008937427,sequential
heat,50,1024,,,,,,,0.016766013,sequential
heat,50,1024,,,,,,,0.020088135,sequential
heat,50,1024,,,,,,,0.008767008,sequential
heat,50,1024,,,,,,,0.009199201,sequential
heat,50,1024,,,,,,,0.021859095,sequential
heat,50,1024,,,,,,,0.019012121,sequential
heat,50,1024,,,,,,,0.021623512,sequential
heat,50,1024,,,,,,,0.008897476,sequential
heat,50,1024,,,,,,,0.018950449,sequential
heat,50,1024,,,,,,,0.019513739,sequential
heat,50,1024,,,,,,,0.00927561,sequential
heat,50,1024,,,,,,,0.008954399,sequential
heat,50,1024,,,,,,,0.009189703,sequential
heat,50,1024,,,,,,,0.020905587,sequential
heat,50,1024,,,,,,,0.023383228,sequential
heat,50,1024,,,,,,,0.009158552,sequential
heat,50,1024,,,,,,,0.009205278,sequential
heat,50,1024,,,,,,,0.018802728,sequential
heat,50,1024,,,,,,,0.008811708,sequential
heat,50,1024,,,,,,,0.008841042,sequential
heat,50,1024,,,,,,,0.01890512,sequential
heat,50,1024,,,,,,,0.021732957,sequential
heat,50,1024,,,,,,,0.020409067,sequential
heat,50,1024,,,,,,,0.017628793,sequential
heat,50,1024,,,,,,,0.016994053,sequential
heat,50,1024,,,,,,,0.008830636,sequential
heat,50,1024,,,,,,,0.023835815,sequential
heat,50,1024,,,,,,,0.017613917,sequential
heat,50,1024,,,,,,,0.021125595,sequential
heat,50,1024,,,,,,,0.019482379,sequential
heat,50,1024,,,,,,,0.008924924,sequential
heat,50,1024,,,,,,,0.010778022,sequential
heat,50,1024,,,,,,,0.008920385,sequential
